gene_symbol,ensembl_id,chromosome,start,end,strand,chr_num
CCNL2,ENSG00000221978,1,1385711,1399335,-1,1
MRPL20,ENSG00000242485,1,1401909,1407293,-1,1
ANKRD65,ENSG00000235098,1,1418420,1421769,-1,1
LINC01770,ENSG00000225285,1,1429194,1435625,-1,1
VWA1,ENSG00000179403,1,1434861,1442882,1,1
ATAD3C,ENSG00000215915,1,1449689,1470163,1,1
ATAD3B,ENSG00000160072,1,1471765,1497848,1,1
ATAD3A,ENSG00000197785,1,1512162,1534685,1,1
TMEM240,ENSG00000205090,1,1534778,1540624,-1,1
SSU72,ENSG00000160075,1,1541673,1574863,-1,1
FNDC10,ENSG00000228594,1,1598012,1600135,-1,1
MIB2,ENSG00000197530,1,1615454,1630605,1,1
MMP23B,ENSG00000189409,1,1632163,1635263,1,1
CDK11B,ENSG00000248333,1,1635225,1659012,-1,1
SLC35E2B,ENSG00000189339,1,1659529,1692795,-1,1
MMP23A,ENSG00000310190,1,1692528,1701814,1,1
CDK11A,ENSG00000008128,1,1702379,1724357,-1,1
NADK,ENSG00000008130,1,1751232,1780457,-1,1
GNB1,ENSG00000078369,1,1785285,1892292,-1,1
CALML6,ENSG00000169885,1,1915108,1917296,1,1
TMEM52,ENSG00000178821,1,1917590,1919279,-1,1
CFAP74,ENSG00000142609,1,1921951,2003837,-1,1
GABRD,ENSG00000187730,1,2019329,2030758,1,1
PRKCZ,ENSG00000067606,1,2050411,2185395,1,1
PRKCZ-AS1,ENSG00000182873,1,2181794,2184389,-1,1
FAAP20,ENSG00000162585,1,2184461,2212720,-1,1
SKI,ENSG00000157933,1,2227388,2310213,1,1
MORN1,ENSG00000116151,1,2321253,2391707,-1,1
LOC100129534,ENSG00000292993,1,2350414,2352820,-1,1
RER1,ENSG00000157916,1,2391775,2405442,1,1
PEX10,ENSG00000157911,1,2403964,2413797,-1,1
TNFRSF14-AS1,ENSG00000238164,1,2540861,2557059,-1,1
TNFRSF14,ENSG00000157873,1,2555639,2565382,1,1
TTC34,ENSG00000215912,1,2636986,2801693,-1,1
ACTRT2,ENSG00000169717,1,3021467,3022903,1,1
PRDM16,ENSG00000142611,1,3069168,3438621,1,1
MIR4251,ENSG00000283572,1,3127975,3128035,1,1
ARHGEF16,ENSG00000130762,1,3454665,3481113,1,1
MEGF6,ENSG00000162591,1,3487951,3611508,-1,1
MIR551A,ENSG00000207776,1,3560695,3560790,-1,1
TPRG1L,ENSG00000158109,1,3625015,3630127,1,1
WRAP73,ENSG00000116213,1,3630767,3652761,-1,1
TP73,ENSG00000078900,1,3652516,3736201,1,1
CCDC27,ENSG00000162592,1,3746460,3771645,1,1
SMIM1,ENSG00000235169,1,3772749,3775982,1,1
LRRC47,ENSG00000130764,1,3778559,3796498,-1,1
CEP104,ENSG00000116198,1,3812086,3857396,-1,1
DFFB,ENSG00000169598,1,3857267,3885429,1,1
C1orf174,ENSG00000198912,1,3889125,3900293,-1,1
LINC01134,ENSG00000236423,1,3900187,3917547,1,1
LINC01346,ENSG00000233304,1,3940486,3955262,1,1
LINC01345,ENSG00000226374,1,3944547,3949024,-1,1
LINC01777,ENSG00000235054,1,4412027,4424689,1,1
LINC01646,ENSG00000232596,1,4571481,4594016,1,1
AJAP1,ENSG00000196581,1,4654609,4792534,1,1
MIR4689,ENSG00000264101,1,5862672,5862741,-1,1
NPHP4,ENSG00000131697,1,5862811,5992473,-1,1
KCNAB2,ENSG00000069424,1,5990927,6101193,1,1
CHD5,ENSG00000116254,1,6101787,6180321,-1,1
RPL22,ENSG00000116251,1,6185020,6209389,-1,1
RNF207,ENSG00000158286,1,6205475,6221299,1,1
ICMT,ENSG00000116237,1,6221193,6235972,-1,1
HES3,ENSG00000173673,1,6244179,6245578,1,1
GPR153,ENSG00000158292,1,6247353,6261098,-1,1
ACOT7,ENSG00000097021,1,6264269,6393767,-1,1
HES2,ENSG00000069812,1,6412418,6424670,-1,1
ESPN,ENSG00000187017,1,6424776,6461367,1,1
MIR4252,ENSG00000265392,1,6429834,6429896,-1,1
TNFRSF25,ENSG00000215788,1,6460786,6466175,-1,1
PLEKHG5,ENSG00000171680,1,6467122,6520074,-1,1
NOL9,ENSG00000162408,1,6521347,6554513,-1,1
TAS1R1,ENSG00000173662,1,6555307,6579755,1,1
ZBTB48,ENSG00000204859,1,6579994,6589280,1,1
KLHL21,ENSG00000162413,1,6590724,6614607,-1,1
PHF13,ENSG00000116273,1,6613731,6624030,1,1
THAP3,ENSG00000041988,1,6624868,6635586,1,1
DNAJC11,ENSG00000007923,1,6634168,6701924,-1,1
LINC01672,ENSG00000228750,1,6724626,6730012,1,1
CAMTA1,ENSG00000171735,1,6785454,7769706,1,1
VAMP3,ENSG00000049245,1,7771296,7781432,1,1
PER3,ENSG00000049246,1,7784291,7845177,1,1
UTS2,ENSG00000049247,1,7843083,7853512,-1,1
TNFRSF9,ENSG00000049249,1,7915871,7943165,-1,1
PARK7,ENSG00000116288,1,7954291,7985505,1,1
ERRFI1,ENSG00000116285,1,8004404,8026309,-1,1
LINC01714,ENSG00000227634,1,8158695,8215242,1,1
SLC45A1,ENSG00000162426,1,8318114,8344167,1,1
RERE,ENSG00000142599,1,8352397,8848921,-1,1
ENO1,ENSG00000074800,1,8861000,8879190,-1,1
MIR6728,ENSG00000274258,1,8866502,8866590,-1,1
ENO1-AS1,ENSG00000230679,1,8878464,8880122,1,1
CA6,ENSG00000131686,1,8945867,8975092,1,1
SLC2A7,ENSG00000197241,1,9002973,9026423,-1,1
SLC2A5,ENSG00000142583,1,9035106,9088478,-1,1
GPR157,ENSG00000180758,1,9100305,9129102,-1,1
MIR34AHG,ENSG00000228526,1,9139555,9202826,-1,1
MIR34A,ENSG00000284357,1,9151668,9151777,-1,1
H6PD,ENSG00000049239,1,9234774,9271337,1,1
SPSB1,ENSG00000171621,1,9292894,9369532,1,1
SLC25A33,ENSG00000171612,1,9539465,9585173,1,1
TMEM201,ENSG00000188807,1,9588911,9614877,1,1
PIK3CD,ENSG00000171608,1,9629889,9729114,1,1
PIK3CD-AS1,ENSG00000179840,1,9652610,9654586,-1,1
PIK3CD-AS2,ENSG00000231789,1,9672405,9687604,-1,1
CLSTN1,ENSG00000171603,1,9728926,9823984,-1,1
CTNNBIP1,ENSG00000178585,1,9848276,9910336,-1,1
LZIC,ENSG00000162441,1,9922113,9943407,-1,1
NMNAT1,ENSG00000173614,1,9943428,9985501,1,1
MIR5697,ENSG00000265521,1,9967381,9967458,1,1
RBP7,ENSG00000162444,1,9997206,10016021,1,1
UBE4B,ENSG00000130939,1,10032832,10181239,1,1
KIF1B,ENSG00000054523,1,10210570,10381603,1,1
PGD,ENSG00000142657,1,10398592,10420511,1,1
CENPS-CORT,ENSG00000251503,1,10430102,10452153,1,1
CENPS,ENSG00000175279,1,10430433,10442808,1,1
CORT,ENSG00000241563,1,10450031,10451998,1,1
DFFA,ENSG00000160049,1,10456522,10472529,-1,1
PEX14,ENSG00000142655,1,10472288,10630758,1,1
CASZ1,ENSG00000130940,1,10636604,10796650,-1,1
TARDBP,ENSG00000120948,1,11012344,11030528,1,1
MASP2,ENSG00000009724,1,11022009,11047239,-1,1
SRM,ENSG00000116649,1,11054584,11060020,-1,1
EXOSC10,ENSG00000171824,1,11066618,11099869,-1,1
MTOR,ENSG00000198793,1,11106535,11262556,-1,1
MTOR-AS1,ENSG00000225602,1,11143898,11149537,1,1
ANGPTL7,ENSG00000171819,1,11189355,11195981,1,1
UBIAD1,ENSG00000120942,1,11273198,11296049,1,1
DISP3,ENSG00000204624,1,11479155,11537551,1,1
LINC01647,ENSG00000235643,1,11609468,11613358,1,1
FBXO2,ENSG00000116661,1,11637018,11655785,-1,1
FBXO44,ENSG00000132879,1,11654375,11663327,1,1
MAD2L2,ENSG00000116670,1,11657230,11691811,-1,1
FBXO6,ENSG00000116663,1,11664200,11674354,1,1
DRAXIN,ENSG00000162490,1,11691710,11725857,1,1
AGTRAP,ENSG00000177674,1,11736084,11754802,1,1
C1orf167,ENSG00000215910,1,11761787,11789585,1,1
MTHFR,ENSG00000177000,1,11785723,11806455,-1,1
CLCN6,ENSG00000011021,1,11806096,11848079,1,1
NPPA,ENSG00000175206,1,11845709,11848345,-1,1
NPPB,ENSG00000120937,1,11857464,11858945,-1,1
RNU5E-1,ENSG00000199347,1,11908152,11908271,1,1
KIAA2013,ENSG00000116685,1,11919591,11926428,-1,1
PLOD1,ENSG00000083444,1,11934205,11975538,1,1
MFN2,ENSG00000116688,1,11980181,12015211,1,1
MIIP,ENSG00000116691,1,12019466,12032045,1,1
MIR6729,ENSG00000276869,1,12029158,12029222,1,1
TNFRSF8,ENSG00000120949,1,12063303,12144207,1,1
MIR7846,ENSG00000283789,1,12166943,12167038,1,1
TNFRSF1B,ENSG00000028137,1,12166991,12209228,1,1
MIR4632,ENSG00000263676,1,12191713,12191773,1,1
VPS13D,ENSG00000048707,1,12230030,12512047,1,1
SNORA59A,ENSG00000239149,1,12507246,12507397,1,1
DHRS3,ENSG00000162496,1,12567909,12620133,-1,1
MIR6730,ENSG00000276830,1,12578957,12579023,-1,1
AADACL4,ENSG00000204518,1,12644085,12667076,1,1
AADACL3,ENSG00000188984,1,12716110,12728760,1,1
PRAMEF12,ENSG00000116726,1,12773738,12777906,1,1
PRAMEF1,ENSG00000116721,1,12791397,12796628,1,1
LINC01784,ENSG00000228338,1,12822618,12823239,-1,1
PRAMEF11,ENSG00000239810,1,12824605,12831410,-1,1
HNRNPCL1,ENSG00000179172,1,12847377,12848720,-1,1
PRAMEF2,ENSG00000120952,1,12857086,12861909,1,1
PRAMEF4,ENSG00000282584,1,12879212,12886201,-1,1
PRAMEF10,ENSG00000187545,1,12892896,12898270,-1,1
PRAMEF7,ENSG00000204510,1,12916610,12920751,1,1
PRAMEF6,ENSG00000282119,1,12938472,12947580,-1,1
PRAMEF27,ENSG00000274764,1,13049476,13056575,-1,1
HNRNPCL3,ENSG00000282559,1,13060769,13062878,1,1
PRAMEF25,ENSG00000282566,1,13068677,13077884,1,1
PRAMEF34P,ENSG00000277862,1,13095179,13097971,-1,1
HNRNPCL2,ENSG00000282530,1,13115488,13116854,-1,1
PRAMEF36P,ENSG00000290772,1,13127073,13132099,1,1
PRAMEF26,ENSG00000280267,1,13148905,13158116,-1,1
HNRNPCL4,ENSG00000273865,1,13163914,13165631,-1,1
PRAMEF9,ENSG00000281573,1,13171848,13179459,1,1
PRAMEF13,ENSG00000279169,1,13196188,13201409,-1,1
PRAMEF18,ENSG00000292418,1,13222695,13226154,-1,1
PRAMEF5,ENSG00000276420,1,13254198,13263435,1,1
PRAMEF8,ENSG00000282583,1,13281304,13285137,-1,1
PRAMEF33,ENSG00000283488,1,13303539,13308907,1,1
PRAMEF15,ENSG00000204501,1,13315581,13322598,1,1
PRAMEF14,ENSG00000204481,1,13341892,13347134,-1,1
PRAMEF19,ENSG00000204480,1,13368431,13371947,-1,1
PRAMEF17,ENSG00000204479,1,13389632,13392629,1,1
PRAMEF20,ENSG00000204478,1,13410450,13421328,1,1
LRRC38,ENSG00000162494,1,13474973,13514003,-1,1
PDPN,ENSG00000162493,1,13583465,13617957,1,1
PRDM2,ENSG00000116731,1,13700188,13825079,1,1
KAZN,ENSG00000189337,1,13892792,15118043,1,1
TMEM51-AS1,ENSG00000175147,1,15111815,15153618,-1,1
TMEM51,ENSG00000171729,1,15152532,15220478,1,1
FHAD1,ENSG00000142621,1,15236521,15400283,1,1
EFHD2,ENSG00000142634,1,15409888,15430339,1,1
CTRC,ENSG00000162438,1,15438442,15449242,1,1
CELA2A,ENSG00000142615,1,15456728,15472091,1,1
CELA2B,ENSG00000215704,1,15465909,15491395,1,1
CASP9,ENSG00000132906,1,15490832,15526534,-1,1
DNAJC16,ENSG00000116138,1,15526813,15592379,1,1
SCARNA21B,ENSG00000251866,1,15542165,15542304,1,1
AGMAT,ENSG00000116771,1,15571699,15585051,-1,1
DDI2,ENSG00000197312,1,15617458,15669044,1,1
RSC1A1,ENSG00000215695,1,15659713,15662033,1,1
PLEKHM2,ENSG00000116786,1,15684320,15734769,1,1
SLC25A34,ENSG00000162461,1,15736258,15741392,1,1
TMEM82,ENSG00000162460,1,15742499,15747982,1,1
FBLIM1,ENSG00000162458,1,15756607,15786594,1,1
UQCRHL,ENSG00000233954,1,15807169,15809348,-1,1
SPEN,ENSG00000065526,1,15836095,15940456,1,1
ZBTB17,ENSG00000116809,1,15941869,15976132,-1,1
HSPB7,ENSG00000173641,1,16014028,16019594,-1,1
CLCNKA,ENSG00000186510,1,16018875,16034050,1,1
CLCNKB,ENSG00000184908,1,16040252,16057311,1,1
FAM131C,ENSG00000185519,1,16057769,16073651,-1,1
EPHA2,ENSG00000142627,1,16124337,16156069,-1,1
ARHGEF19,ENSG00000291381,1,16197854,16212652,-1,1
FBXO42,ENSG00000037637,1,16246840,16352480,-1,1
SZRD1,ENSG00000291379,1,16352575,16398145,1,1
SPATA21,ENSG00000187144,1,16387117,16437424,-1,1
NECAP2,ENSG00000291380,1,16440721,16460078,1,1
LINC01772,ENSG00000226029,1,16460948,16468481,1,1
CROCCP3,ENSG00000080947,1,16474396,16491307,-1,1
RNU1-1,ENSG00000291389,1,16514122,16514285,-1,1
LINC01783,ENSG00000233421,1,16514977,16535707,-1,1
NBPF1,ENSG00000292225,1,16562319,16613562,-1,1
CROCCP2,ENSG00000291072,1,16618253,16680618,-1,1
MST1P2,ENSG00000186301,1,16645622,16650289,1,1
RNU1-3,ENSG00000291396,1,16666785,16666948,-1,1
ESPNP,ENSG00000268869,1,16691214,16720157,-1,1
CROCC,ENSG00000058453,1,16740273,16972964,1,1
RNU1-4,ENSG00000291399,1,16740516,16740679,1,1
MST1L,ENSG00000186715,1,16757232,16764480,-1,1
MIR3675,ENSG00000263811,1,16858949,16859021,-1,1
LOC105376805,ENSG00000291408,1,16887535,16896642,-1,1
RNU1-2,ENSG00000291385,1,16895980,16896143,1,1
MFAP2,ENSG00000117122,1,16974502,16980632,-1,1
ATP13A2,ENSG00000159363,1,16985958,17011928,-1,1
SDHB,ENSG00000117118,1,17018664,17054151,-1,1
PADI2,ENSG00000117115,1,17066761,17119451,-1,1
PADI1,ENSG00000142623,1,17205128,17246007,1,1
PADI3,ENSG00000280549,1,17249098,17284233,1,1
MIR3972,ENSG00000266634,1,17277889,17277975,1,1
PADI4,ENSG00000159339,1,17308195,17364004,1,1
PADI6,ENSG00000280949,1,17372196,17401699,1,1
RCC2,ENSG00000179051,1,17406760,17439677,-1,1
ARHGEF10L,ENSG00000074964,1,17539698,17697874,1,1
ACTL8,ENSG00000117148,1,17755333,17827063,1,1
LINC01654,ENSG00000261781,1,18065657,18074412,1,1
IGSF21,ENSG00000117154,1,18107798,18378483,1,1
KLHDC7A,ENSG00000179023,1,18480930,18485974,1,1
PAX7,ENSG00000009709,1,18630846,18748866,1,1
TAS1R2,ENSG00000179002,1,18839599,18859660,-1,1
ALDH4A1,ENSG00000159423,1,18871430,18902724,-1,1
MIR4695,ENSG00000265606,1,18883202,18883275,-1,1
MIR1290,ENSG00000221662,1,18897071,18897148,-1,1
IFFO2,ENSG00000169991,1,18904280,18956676,-1,1
UBR4,ENSG00000127481,1,19074510,19210266,-1,1
EMC1,ENSG00000127463,1,19215660,19251552,-1,1
MRTO4,ENSG00000053372,1,19251805,19260128,1,1
AKR7L,ENSG00000211454,1,19265982,19274194,-1,1
AKR7A3,ENSG00000162482,1,19282573,19288770,-1,1
AKR7A2,ENSG00000053371,1,19301991,19312144,-1,1
CAPZB,ENSG00000077549,1,19338775,19485539,-1,1
NBL1,ENSG00000158747,1,19596979,19658456,1,1
HTR6,ENSG00000158748,1,19664875,19680966,1,1
TMCO4,ENSG00000162542,1,19682240,19799945,-1,1
RNF186,ENSG00000178828,1,19814029,19815283,-1,1
OTUD3,ENSG00000169914,1,19882395,19912945,1,1
PLA2G2E,ENSG00000188784,1,19920009,19923617,-1,1
PLA2G2A,ENSG00000188257,1,19975431,19980416,-1,1
PLA2G5,ENSG00000127472,1,20028179,20091911,1,1
PLA2G2D,ENSG00000117215,1,20111939,20119566,-1,1
PLA2G2F,ENSG00000158786,1,20139323,20150381,1,1
PLA2G2C,ENSG00000187980,1,20161253,20186518,-1,1
UBXN10,ENSG00000162543,1,20186096,20196050,1,1
LINC01757,ENSG00000228105,1,20242992,20244664,1,1
VWA5B1,ENSG00000158816,1,20290875,20359518,1,1
LINC01141,ENSG00000236963,1,20360579,20439489,-1,1
CAMK2N1,ENSG00000162545,1,20482391,20486210,-1,1
MUL1,ENSG00000090432,1,20499448,20508151,-1,1
FAM43B,ENSG00000183114,1,20552573,20555020,1,1
CDA,ENSG00000158825,1,20589086,20618903,1,1
PINK1,ENSG00000158828,1,20633458,20651511,1,1
MIR6084,ENSG00000284005,1,20633679,20633788,1,1
PINK1-AS,ENSG00000117242,1,20642657,20652193,-1,1
DDOST,ENSG00000244038,1,20651767,20661544,-1,1
KIF17,ENSG00000117245,1,20664014,20718017,-1,1
SH2D5,ENSG00000189410,1,20719731,20732837,-1,1
HP1BP3,ENSG00000127483,1,20740266,20787323,-1,1
EIF4G3,ENSG00000075151,1,20806292,21177285,-1,1
MIR1256,ENSG00000221808,1,20988314,20988432,-1,1
ECE1,ENSG00000117298,1,21217247,21345572,-1,1
NBPF3,ENSG00000142794,1,21440128,21485005,1,1
ALPL,ENSG00000162551,1,21509397,21578410,1,1
RAP1GAP,ENSG00000076864,1,21596221,21669357,-1,1
USP48,ENSG00000090686,1,21678298,21783606,-1,1
LDLRAD2,ENSG00000187942,1,21812265,21825225,1,1
HSPG2,ENSG00000142798,1,21822244,21937310,-1,1
CELA3B,ENSG00000219073,1,21977022,21998642,1,1
CELA3A,ENSG00000142789,1,22001657,22012542,1,1
LINC01635,ENSG00000228397,1,22023851,22026215,-1,1
LINC00339,ENSG00000218510,1,22024558,22031223,1,1
CDC42,ENSG00000070831,1,22052627,22101360,1,1
WNT4,ENSG00000162552,1,22117313,22143969,-1,1
MIR4418,ENSG00000266564,1,22266239,22266300,1,1
ZBTB40,ENSG00000184677,1,22428838,22531157,1,1
EPHA8,ENSG00000070886,1,22563489,22603595,1,1
MIR6127,ENSG00000276835,1,22633258,22633366,-1,1
C1QA,ENSG00000173372,1,22635077,22639678,1,1
C1QC,ENSG00000159189,1,22643014,22648110,1,1
C1QB,ENSG00000173369,1,22652762,22661637,1,1
EPHB2,ENSG00000133216,1,22710839,22921500,1,1
MIR4684,ENSG00000265422,1,22719517,22719598,1,1
MIR4253,ENSG00000264014,1,22863159,22863226,-1,1
LACTBL1,ENSG00000215906,1,22953043,22972866,-1,1
TEX46,ENSG00000227868,1,23010834,23019100,-1,1
KDM1A,ENSG00000004487,1,23019443,23083689,1,1
MIR3115,ENSG00000263793,1,23044305,23044372,1,1
LUZP1,ENSG00000169641,1,23084030,23178152,-1,1
HTR1D,ENSG00000179546,1,23191895,23217502,-1,1
LINC01355,ENSG00000261326,1,23281307,23287488,-1,1
HNRNPR,ENSG00000282958,1,23303771,23344336,-1,1
ZNF436,ENSG00000283009,1,23359448,23369836,-1,1
ZNF436-AS1,ENSG00000249087,1,23368485,23371858,1,1
TCEA3,ENSG00000282941,1,23380909,23424748,-1,1
ASAP3,ENSG00000282854,1,23428563,23484637,-1,1
E2F2,ENSG00000007968,1,23506438,23531233,-1,1
ID3,ENSG00000283060,1,23557926,23559501,-1,1
MDS2,ENSG00000197880,1,23581495,23640574,1,1
RPL11,ENSG00000142676,1,23691742,23696835,1,1
ELOA-AS1,ENSG00000236810,1,23706901,23778340,-1,1
ELOA,ENSG00000011007,1,23743448,23762059,1,1
PITHD1,ENSG00000057757,1,23778418,23788232,1,1
LYPLA2,ENSG00000011009,1,23791110,23795539,1,1
GALE,ENSG00000117308,1,23795599,23800781,-1,1
HMGCL,ENSG00000117305,1,23801885,23838620,-1,1
FUCA1,ENSG00000179163,1,23845077,23868290,-1,1
CNR2,ENSG00000188822,1,23870515,23913362,-1,1
MIR378F,ENSG00000264926,1,23929070,23929147,1,1
PNRC2,ENSG00000189266,1,23956839,23963462,1,1
SRSF10,ENSG00000188529,1,23964347,23980927,-1,1
MYOM3,ENSG00000142661,1,24056035,24112135,-1,1
IL22RA1,ENSG00000142677,1,24119771,24143140,-1,1
IFNLR1,ENSG00000185436,1,24154168,24187959,-1,1
GRHL3,ENSG00000158055,1,24199558,24364482,1,1
STPG1,ENSG00000001460,1,24356999,24416934,-1,1
NIPAL3,ENSG00000001461,1,24415802,24475252,1,1
RCAN3AS,ENSG00000286061,1,24496254,24556046,-1,1
RCAN3,ENSG00000117602,1,24502351,24541040,1,1
NCMAP,ENSG00000184454,1,24556087,24609328,1,1
SRRM1,ENSG00000133226,1,24631716,24673281,1,1
CLIC4,ENSG00000169504,1,24745382,24844321,1,1
RUNX3,ENSG00000020633,1,24899511,24965121,-1,1
MIR6731,ENSG00000278034,1,24919345,24919416,-1,1
MIR4425,ENSG00000264371,1,25023503,25023586,1,1
SYF2,ENSG00000117614,1,25222276,25232502,-1,1
RSRP1,ENSG00000117616,1,25242249,25338213,-1,1
RHD,ENSG00000187010,1,25272393,25330445,1,1
TMEM50A,ENSG00000183726,1,25338317,25362361,1,1
RHCE,ENSG00000188672,1,25362249,25430192,-1,1
LDLRAP1,ENSG00000157978,1,25543604,25591200,1,1
MAN1C1,ENSG00000117643,1,25616791,25784450,1,1
SELENON,ENSG00000162430,1,25800193,25818221,1,1
MTFR1L,ENSG00000117640,1,25818640,25832942,1,1
AUNIP,ENSG00000127423,1,25831913,25859458,-1,1
PAQR7,ENSG00000182749,1,25861484,25875708,-1,1
STMN1,ENSG00000117632,1,25884181,25906991,-1,1
MIR3917,ENSG00000283938,1,25906362,25906454,-1,1
PAFAH2,ENSG00000158006,1,25959767,25998117,-1,1
EXTL1,ENSG00000158008,1,26019884,26036464,1,1
SLC30A2,ENSG00000158014,1,26037252,26046118,-1,1
TRIM63,ENSG00000158022,1,26051301,26068436,-1,1
PDIK1L,ENSG00000175087,1,26111165,26125555,1,1
FAM110D,ENSG00000197245,1,26159079,26163962,1,1
ZNF593,ENSG00000142684,1,26169908,26170873,1,1
CNKSR1,ENSG00000142675,1,26177484,26189884,1,1
CATSPER4,ENSG00000188782,1,26190561,26202968,1,1
CEP85,ENSG00000130695,1,26234200,26278808,1,1
SH3BGRL3,ENSG00000142669,1,26280086,26281522,1,1
UBXN11,ENSG00000158062,1,26281328,26318363,-1,1
CD52,ENSG00000169442,1,26317958,26320523,1,1
CRYBG2,ENSG00000176092,1,26321698,26360080,-1,1
ZNF683,ENSG00000176083,1,26361634,26374522,-1,1
LIN28A,ENSG00000131914,1,26410817,26429728,1,1
DHDDS,ENSG00000117682,1,26432282,26471306,1,1
HMGN2,ENSG00000198830,1,26472440,26478209,1,1
RPS6KA1,ENSG00000117676,1,26529761,26575030,1,1
MIR1976,ENSG00000280948,1,26554542,26554593,1,1
ARID1A,ENSG00000117713,1,26693236,26782104,1,1
PIGV,ENSG00000060642,1,26787054,26800659,1,1
ZDHHC18,ENSG00000204160,1,26826688,26857604,1,1
SFN,ENSG00000175793,1,26863149,26864456,1,1
GPN2,ENSG00000142751,1,26876132,26890283,-1,1
GPATCH3,ENSG00000198746,1,26890488,26900467,-1,1
NUDC,ENSG00000090273,1,26900238,26946871,1,1
NR0B2,ENSG00000131910,1,26911489,26913975,-1,1
KDF1,ENSG00000175707,1,26949562,26960468,-1,1
TRNP1,ENSG00000253368,1,26993692,27001912,1,1
SLC9A1,ENSG00000090020,1,27098809,27166981,-1,1
WDTC1,ENSG00000142784,1,27234632,27308636,1,1
TMEM222,ENSG00000186501,1,27322145,27336400,1,1
ACTG1P20,ENSG00000241547,1,27325329,27325796,1,1
SYTL1,ENSG00000142765,1,27342020,27353937,1,1
MAP3K6,ENSG00000142733,1,27355184,27366961,-1,1
FCN3,ENSG00000142748,1,27369110,27374824,-1,1
CD164L2,ENSG00000174950,1,27379176,27383333,-1,1
GPR3,ENSG00000181773,1,27392622,27395814,1,1
WASF2,ENSG00000158195,1,27404230,27490167,-1,1
AHDC1,ENSG00000126705,1,27534035,27604431,-1,1
FGR,ENSG00000000938,1,27612064,27635185,-1,1
IFI6,ENSG00000126709,1,27666064,27672212,-1,1
FAM76A,ENSG00000009780,1,27725961,27763116,1,1
STX12,ENSG00000117758,1,27773219,27824443,1,1
PPP1R8,ENSG00000117751,1,27830782,27851676,1,1
SCARNA1,ENSG00000252947,1,27834401,27834566,1,1
THEMIS2,ENSG00000130775,1,27872543,27886685,1,1
RPA2,ENSG00000117748,1,27891524,27914746,-1,1
SMPDL3B,ENSG00000130768,1,27935000,27959157,1,1
XKR8,ENSG00000158156,1,27959588,27968093,1,1
EYA3,ENSG00000158161,1,27970344,28088637,-1,1
PTAFR,ENSG00000169403,1,28147166,28193936,-1,1
DNAJC8,ENSG00000126698,1,28199456,28233029,-1,1
SESN2,ENSG00000130766,1,28259518,28282491,1,1
